Amplitude,Period,rate
650.2120319,23,0.06236
386.859093,39,0.06186
253.1438049,46,0.06205
429.8763615,39,0.06177
97.9484816,37,0.06196
439.7155435,78,0.06168
394.7077053,39,0.06160
117.9285748,39,0.06156
447.2360666,46,0.06206
555.5110141,39,0.06144
556.0121593,39,0.06203
216.0915948,39,0.06167
153.834524,46,0.06121
352.7272115,39,0.06157
343.1633442,38,0.06160
342.7457108,5,0.06094
164.6440029,39,0.06083
153.7262277,39,0.06141
178.4153037,7,0.06122
273.2298422,39,0.06049
328.1529913,39,0.06067
441.0987832,38,0.05667
431.4315195,132,0.05667
33.38099578,39,0.06140
22.96554015,33,0.06084
262.1117895,38,0.06083
267.9767817,78,0.06062
299.9137873,39,0.06049
305.8800598,20,0.06127
365.8363187,38,0.06023
293.8691916,160,0.06007
287.4171486,39,0.05991
88.60844061,39,0.05975
304.5671534,6,0.05957
361.6076706,39,0.05939
68.51908263,7,0.05919
148.14184,39,0.05898
426.8684646,39,0.05876
115.1352347,39,0.05926
297.9566348,7,0.05830
521.3309991,39,0.05802
73.86708499,39,0.05774
332.1830853,7,0.05745
428.7852556,39,0.05715
236.8606321,32,0.05683
423.721388,14,0.05686
557.5698112,35,0.05659
162.5711264,39,0.05624
97.1014125,46,0.05586
136.5601899,39,0.05547
