Time,Jitter
1,0
2,0.284347222
3,0.282596354
4,0.658600749
5,0.627979869
6,0.892821405
7,1.568242289
8,1.868692424
9,2.165399147
10,2.640395034
11,3.103849511
12,3.688858916
13,4.177916345
14,3.985477129
15,3.77968342
16,3.623008762
17,3.423959603
18,3.242156572
19,3.491834286
20,3.472969644
21,3.408784041
22,3.209790594
23,3.187546737
24,3.639213955
25,3.867853361
26,3.64949447
27,3.430012177
28,3.964254471
29,4.798558011
30,5.055016191
31,6.586265179
32,7.88019305
33,8.560292095
34,9.853155784
35,9.267757159
36,9.064258447
37,9.020228405
38,8.546658574
39,8.490985469
40,8.773000266
41,8.746055805
42,8.793295373
43,8.395790801
44,8.66212332
45,8.659108668
46,8.291740765
47,7.891076412
48,7.419273025
49,6.994311517
50,6.625903158
51,6.633916155
52,6.571921395
53,6.421620753
54,6.400575011
55,6.188851573
56,6.092492794
57,6.08139255
58,6.73237496
59,7.423539025
60,7.154067836
61,7.133563596
62,6.982736705
63,7.253440661
64,7.861357564
65,7.704078272
66,7.243365046
67,7.084640842
68,7.066045234
69,7.528993796
70,7.857181683
71,8.156850884
72,8.287304648
73,8.235292552
74,7.951961767
75,7.684464157
76,7.644872647
77,7.383880607
78,7.192388069
79,7.230863815
80,7.727809826
81,8.457634212
82,8.796782074
83,8.735045694
84,8.371980338
85,8.128731567
86,7.668060844
87,7.243077875
88,6.841246619
89,6.442474261
90,6.076840453
91,6.270669869
92,6.139371058
93,5.983340922
94,5.74637517
95,5.861025333
96,7.387593194
97,8.239222786
98,8.04223664
99,8.015249628
100,7.870352081
101,7.717024521
102,7.300411877
103,6.901518079
104,6.927180144
105,6.65266194
106,6.40885668
107,6.467469804
108,6.514134886
109,6.136938956
110,5.834248326
111,6.138045306
112,6.247292474
113,5.89682975
114,5.630152891
115,5.476719724
116,5.336862241
117,5.285808351
118,5.632320329
119,6.410550309
120,6.463203414
121,6.22870459
122,6.104438331
123,6.082563713
124,5.901632648
125,6.138850052
126,5.854539979
127,5.697957619
128,5.691460268
129,5.809806501
130,5.687693595
131,5.708525245
132,5.568179917
133,5.549168672
134,5.97065813
135,6.610679497
136,6.229220362
137,5.866435756
138,5.512950188
139,5.402175523
140,5.642858998
141,5.720249755
142,5.485581367
143,5.53957281
144,7.272509231
145,9.139505182
146,8.85488333
147,8.7241684
148,8.70053982
149,8.46414497
150,8.123128965
151,7.879766738
152,7.758059094
