x,y
0.000000000000000000e+00,1.125827021183248178e+02
1.000000000000000000e+00,1.053427135066203135e+02
2.000000000000000000e+00,9.856831538183199370e+01
3.000000000000000000e+00,9.222956646737327446e+01
4.000000000000000000e+00,8.629845095564546398e+01
5.000000000000000000e+00,8.074875468463265804e+01
6.000000000000000000e+00,7.555594927735417343e+01
7.000000000000000000e+00,7.069708373209799390e+01
8.000000000000000000e+00,6.615068298428899141e+01
9.000000000000000000e+00,6.189665299165860546e+01
1.000000000000000000e+01,5.791619192321447684e+01
1.100000000000000000e+01,5.419170705948589273e+01
1.200000000000000000e+01,5.070673703676298061e+01
1.300000000000000000e+01,4.744587909166748574e+01
1.400000000000000000e+01,4.439472098449260073e+01
1.500000000000000000e+01,4.153977730042900163e+01
1.600000000000000000e+01,3.886842984714296989e+01
1.700000000000000000e+01,3.636887188527781944e+01
1.800000000000000000e+01,3.403005594539025935e+01
1.900000000000000000e+01,3.184164500068447268e+01
2.000000000000000000e+01,2.979396677973893404e+01
2.100000000000000000e+01,2.787797101729842808e+01
2.200000000000000000e+01,2.608518945418992985e+01
2.300000000000000000e+01,2.440769840957100811e+01
2.400000000000000000e+01,2.283808376008881424e+01
2.500000000000000000e+01,2.136940817116560964e+01
2.600000000000000000e+01,1.999518043558062530e+01
2.700000000000000000e+01,1.870932678383195835e+01
2.800000000000000000e+01,1.750616403947681121e+01
2.900000000000000000e+01,1.638037450080297575e+01
3.000000000000000000e+01,1.532698243781423919e+01
3.100000000000000000e+01,1.434133210065193431e+01
3.200000000000000000e+01,1.341906714225481423e+01
3.300000000000000000e+01,1.915075880004880560e+02
3.400000000000000000e+01,1.800300576540558950e+02
3.500000000000000000e+01,1.692404045047034629e+02
3.600000000000000000e+01,1.590974023457486055e+02
3.700000000000000000e+01,1.495622957605348518e+02
3.800000000000000000e+01,1.405986520417845327e+02
3.900000000000000000e+01,1.321722219857967673e+02
4.000000000000000000e+01,1.242508090295984715e+02
4.100000000000000000e+01,1.168041462310344230e+02
4.200000000000000000e+01,1.098037806217491124e+02
4.300000000000000000e+01,1.032229644911846549e+02
4.400000000000000000e+01,9.703655318620157288e+01
4.500000000000000000e+01,9.122090903582478916e+01
4.600000000000000000e+01,8.575381103402061456e+01
4.700000000000000000e+01,8.061436993541165918e+01
4.800000000000000000e+01,7.578294843951857729e+01
4.900000000000000000e+01,7.124108615856049198e+01
5.000000000000000000e+01,6.697142908212347834e+01
5.100000000000000000e+01,6.295766326918847255e+01
5.200000000000000000e+01,5.918445251416228814e+01
5.300000000000000000e+01,5.563737974873985337e+01
5.400000000000000000e+01,5.230289195570000516e+01
5.500000000000000000e+01,4.916824838415557508e+01
5.600000000000000000e+01,4.622147186839359279e+01
5.700000000000000000e+01,4.345130306429954459e+01
5.800000000000000000e+01,4.084715742850757181e+01
5.900000000000000000e+01,3.839908477589814595e+01
6.000000000000000000e+01,3.609773126091644002e+01
6.100000000000000000e+01,3.393430363744563749e+01
6.200000000000000000e+01,3.190053566067579283e+01
6.300000000000000000e+01,2.998865650259296345e+01
6.400000000000000000e+01,2.819136106040733125e+01
6.500000000000000000e+01,2.650178204447180264e+01
6.600000000000000000e+01,2.491346373904162448e+01
6.700000000000000000e+01,5.652371749964779610e+02
6.800000000000000000e+01,5.307700463538183158e+02
6.900000000000000000e+01,4.984046601467601363e+02
7.000000000000000000e+01,4.680128559674145663e+02
7.100000000000000000e+01,4.394742883950535202e+02
7.200000000000000000e+01,4.126759504524933959e+02
7.300000000000000000e+01,3.875117261212353696e+02
7.400000000000000000e+01,3.638819701434142644e+02
7.500000000000000000e+01,3.416931134466556728e+02
7.600000000000000000e+01,3.208572926294028775e+02
7.700000000000000000e+01,3.012920020395508232e+02
7.800000000000000000e+01,2.829197670686885431e+02
7.900000000000000000e+01,2.656678373682605070e+02
8.000000000000000000e+01,2.494678987728450750e+02
8.100000000000000000e+01,2.342558027898247985e+02
8.200000000000000000e+01,2.199713125842810655e+02
8.300000000000000000e+01,2.065578644532653243e+02
8.400000000000000000e+01,1.939623438449328603e+02
8.500000000000000000e+01,1.821348750356197570e+02
8.600000000000000000e+01,1.710286236320269779e+02
8.700000000000000000e+01,1.605996111164598119e+02
8.800000000000000000e+01,1.508065407007593137e+02
8.900000000000000000e+01,1.416106337993423097e+02
9.000000000000000000e+01,1.329754764738162294e+02
9.100000000000000000e+01,1.248668752411203258e+02
9.200000000000000000e+01,1.172527216742225988e+02
9.300000000000000000e+01,1.101028652592184329e+02
9.400000000000000000e+01,1.033889940053707903e+02
9.500000000000000000e+01,9.708452233533157028e+01
9.600000000000000000e+01,9.116448581161233733e+01
9.700000000000000000e+01,8.560544228244187082e+01
9.800000000000000000e+01,8.038537905556884766e+01
9.900000000000000000e+01,7.548362573243591100e+01
1.000000000000000000e+02,7.088077235756641414e+01
1.010000000000000000e+02,6.655859255905167515e+01
1.020000000000000000e+02,6.249997137579085660e+01
1.030000000000000000e+02,5.868883748569356840e+01
1.040000000000000000e+02,5.511009956648265984e+01
1.050000000000000000e+02,5.174958653709888523e+01
1.060000000000000000e+02,4.859399144307529639e+01
1.070000000000000000e+02,4.563081876367886736e+01
1.080000000000000000e+02,4.284833493216618194e+01
1.090000000000000000e+02,4.023552187322336948e+01
1.100000000000000000e+02,3.778203337360800873e+01
1.110000000000000000e+02,3.547815411322934409e+01
1.120000000000000000e+02,3.331476119443839679e+01
1.130000000000000000e+02,3.128328801719143115e+01
1.140000000000000000e+02,2.937569035703995368e+01
1.150000000000000000e+02,2.758441451162277858e+01
1.160000000000000000e+02,2.590236738952668460e+01
1.170000000000000000e+02,2.432288842307368526e+01
1.180000000000000000e+02,2.283972319381507887e+01
1.190000000000000000e+02,2.144699866629463259e+01
1.200000000000000000e+02,2.013919993201156800e+01
1.210000000000000000e+02,1.891114837149414640e+01
1.220000000000000000e+02,1.775798114800999628e+01
1.230000000000000000e+02,1.667513195171252960e+01
1.240000000000000000e+02,1.565831291797402613e+01
1.250000000000000000e+02,1.470349764830568873e+01
1.260000000000000000e+02,1.380690526663094708e+01
1.270000000000000000e+02,1.296498544777800355e+01
1.280000000000000000e+02,1.217440435890754813e+01
1.290000000000000000e+02,1.143203145820646149e+01
1.300000000000000000e+02,1.073492709857302074e+01
1.310000000000000000e+02,1.008033088720671344e+01
1.320000000000000000e+02,3.932636285790013062e+02
1.330000000000000000e+02,3.698147294668663108e+02
1.340000000000000000e+02,3.477640040723412653e+02
1.350000000000000000e+02,3.270280843133995177e+02
1.360000000000000000e+02,3.075285730476146000e+02
1.370000000000000000e+02,2.891917476728679617e+02
1.380000000000000000e+02,2.719482814012831113e+02
1.390000000000000000e+02,2.557329811525947036e+02
1.400000000000000000e+02,2.404845410759958781e+02
1.410000000000000000e+02,2.261453107685933333e+02
1.420000000000000000e+02,2.126610773141642028e+02
1.430000000000000000e+02,1.999808603181598983e+02
1.440000000000000000e+02,1.880567191640371618e+02
1.450000000000000000e+02,1.768435717622027141e+02
1.460000000000000000e+02,1.662990241063076553e+02
1.470000000000000000e+02,1.563832099924887018e+02
1.480000000000000000e+02,1.470586402955759695e+02
1.490000000000000000e+02,1.382900612324196459e+02
1.500000000000000000e+02,1.300443210764658204e+02
1.510000000000000000e+02,1.222902448196640819e+02
1.520000000000000000e+02,1.149985163078356862e+02
1.530000000000000000e+02,1.081415674038870378e+02
